instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
RSR,1,1,0,-0.423728813559322,0.033474576271186496,0.016737288135593248,-0.4739406779661018,-4.739406779661018e-05,0.0,0.0,0.0,-0.4739406779661018,-0.4739406779661018,228.0,33.4745762711865,16.94915254237291,-4.739406779661018e-05,0.050211864406779744,-0.020381160948747857,0.0021946289579911895,31,85,100,100
SHIB,1,1,0,-0.423728813559322,0.03347457627118649,0.016737288135593244,-0.4739406779661018,-4.739406779661018e-05,0.0,0.0,0.0,-0.4739406779661018,-0.4739406779661018,86.0,33.474576271186486,16.949152542372904,-4.739406779661018e-05,0.05021186440677973,-0.020381160948747857,0.002194628957991189,32,86,101,101
CORE,1,0,1,-0.42372881355931835,0.034322033898305036,0.017161016949152518,-0.4752118644067759,-4.752118644067759e-05,0.0,0.0,0.0,-0.4752118644067759,-0.4752118644067759,504.0,34.32203389830504,16.94915254237286,-4.752118644067759e-05,0.05148305084745755,-0.020435826557014335,0.00225018918477577,33,83,96,107
AGLD,1,0,1,-0.4237288135593185,0.03432203389830502,0.01716101694915251,-0.4752118644067761,-4.752118644067761e-05,0.0,0.0,0.0,-0.4752118644067761,-0.4752118644067761,392.0,34.32203389830503,16.949152542372854,-4.752118644067761e-05,0.05148305084745754,-0.020435826557014345,0.002250189184775769,34,82,97,105
CELO,1,0,1,-0.4237288135593197,0.03432203389830504,0.01716101694915252,-0.4752118644067772,-4.7521186440677724e-05,0.0,0.0,0.0,-0.4752118644067772,-0.4752118644067772,44.0,34.322033898305044,16.94915254237286,-4.7521186440677724e-05,0.051483050847457565,-0.020435826557014394,0.0022501891847757703,35,79,95,106
FIL,1,0,1,-0.4237288135593196,0.0343220338983051,0.01716101694915255,-0.4752118644067772,-4.7521186440677724e-05,0.0,0.0,0.0,-0.4752118644067772,-0.4752118644067772,317.0,34.3220338983051,16.94915254237289,-4.7521186440677724e-05,0.05148305084745765,-0.020435826557014394,0.002250189184775774,36,81,92,112
ETC,1,0,1,-0.4237288135593198,0.03432203389830499,0.017161016949152494,-0.47521186440677726,-4.7521186440677724e-05,0.0,0.0,0.0,-0.47521186440677726,-0.47521186440677726,28.0,34.32203389830499,16.949152542372836,-4.7521186440677724e-05,0.05148305084745748,-0.020435826557014397,0.002250189184775767,37,80,98,108
CRV,1,0,1,-0.42372881355931985,0.03432203389830509,0.017161016949152546,-0.47521186440677754,-4.752118644067775e-05,0.0,0.0,0.0,-0.47521186440677754,-0.47521186440677754,20.0,34.322033898305094,16.94915254237289,-4.752118644067775e-05,0.051483050847457634,-0.020435826557014408,0.0022501891847757733,38,78,94,115
LINK,1,0,1,-0.4237288135593199,0.03432203389830509,0.017161016949152546,-0.4752118644067776,-4.752118644067776e-05,0.0,0.0,0.0,-0.4752118644067776,-0.4752118644067776,220.0,34.322033898305094,16.949152542372886,-4.752118644067776e-05,0.051483050847457634,-0.02043582655701441,0.0022501891847757733,39,77,93,113
AAVE,1,0,1,-0.423728813559322,0.034322033898305106,0.017161016949152553,-0.4752118644067797,-4.752118644067797e-05,0.0,0.0,0.0,-0.4752118644067797,-0.4752118644067797,312.0,34.32203389830511,16.949152542372893,-4.752118644067797e-05,0.05148305084745766,-0.0204358265570145,0.0022501891847757746,40,76,91,114
LTC,1,0,1,-0.423728813559322,0.03432203389830512,0.01716101694915256,-0.47521186440677976,-4.7521186440677974e-05,0.0,0.0,0.0,-0.47521186440677976,-0.47521186440677976,280.0,34.32203389830512,16.949152542372904,-4.7521186440677974e-05,0.051483050847457676,-0.020435826557014505,0.002250189184775775,41,75,90,110
API3,2,1,1,-0.8450879237288103,0.06760466419491512,0.03380233209745756,-0.946494920021183,-9.46494920021183e-05,0.0,0.0,0.0,-0.4732474600105915,-0.4732474600105915,58.5,67.60466419491512,33.803516949152474,-9.46494920021183e-05,0.10140699629237268,-0.0407027001457421,0.004432233959751092,42,74,88,74
SNX,2,1,1,-0.8450879237288108,0.06760466419491523,0.033802332097457616,-0.9464949200211836,-9.464949200211836e-05,0.0,0.0,0.0,-0.4732474600105918,-0.4732474600105918,201.0,67.60466419491523,33.80351694915253,-9.464949200211836e-05,0.10140699629237285,-0.04070270014574213,0.0044322339597511,43,73,84,78
BAND,2,1,1,-0.8450879237288111,0.06760466419491518,0.03380233209745759,-0.9464949200211838,-9.464949200211839e-05,0.0,0.0,0.0,-0.4732474600105919,-0.4732474600105919,21.5,67.60466419491516,33.803516949152495,-9.464949200211839e-05,0.10140699629237276,-0.040702700145742135,0.004432233959751095,44,72,87,76
HBAR,2,1,1,-0.8450879237288115,0.0676046641949152,0.0338023320974576,-0.9464949200211843,-9.464949200211843e-05,0.0,0.0,0.0,-0.47324746001059215,-0.47324746001059215,139.5,67.60466419491522,33.803516949152524,-9.464949200211843e-05,0.1014069962923728,-0.040702700145742156,0.004432233959751097,45,71,86,77
AXS,2,1,1,-0.8450879237288136,0.06760466419491522,0.03380233209745761,-0.9464949200211865,-9.464949200211865e-05,0.0,0.0,0.0,-0.47324746001059326,-0.47324746001059326,40.5,67.60466419491522,33.803516949152524,-9.464949200211865e-05,0.10140699629237282,-0.04070270014574225,0.004432233959751098,46,70,85,75
YFI,2,0,2,-0.8450815677966057,0.06845160699152528,0.03422580349576264,-0.9477589782838938,-9.477589782838938e-05,0.0,0.0,0.0,-0.4738794891419469,-0.4738794891419469,13.5,68.45160699152528,33.803262711864335,-9.477589782838938e-05,0.10267741048728792,-0.040757059216610346,0.004487760433697906,47,69,83,88
