left_out,net_return,net_pnl,sharpe,max_drawdown,profit_factor,delta_net_return,delta_net_pnl,delta_sharpe,delta_max_drawdown,delta_profit_factor,total_trades
CHZ,0.002535364072069779,25.353640720698515,0.2050068014948207,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.0997800030527713,0.014030194972524807,1.5058304414922175e-05,0.010343811892476129,450
COMP,0.002535364072069779,25.3536407206985,0.205023154164089,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.099780003052757,0.014046547641793111,1.5058304414922175e-05,0.010343811892476129,450
DOGE,0.002535364072069779,25.3536407206985,0.2050075059317016,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.099780003052757,0.014030899409405717,1.5058304414922175e-05,0.010343811892476129,450
KSM,0.002535364072069779,25.3536407206985,0.20500405502224722,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.099780003052757,0.014027448499951328,1.5058304414922175e-05,0.010343811892476129,450
TRB,0.002535364072069779,25.35364072069853,0.20500276064591447,-0.020465160042979734,1.1238868431395228,0.00020997800030508884,2.0997800030527856,0.014026154123618573,1.5058304414922175e-05,0.010343811892476129,450
ENS,0.002535364072070001,25.3536407206985,0.20501497922196601,-0.02046516004297955,1.1238868431395228,0.00020997800030531089,2.099780003052757,0.01403837269967012,1.5058304415106055e-05,0.010343811892476129,450
ZIL,0.002535364072070001,25.353640720698525,0.20501833609331022,-0.02046516004297955,1.1238868431395228,0.00020997800030531089,2.099780003052782,0.014041729571014322,1.5058304415106055e-05,0.010343811892476129,450
LPT,0.0025821000668688754,25.821000668690104,0.20841564859404552,-0.020418424048180533,1.1264593222658195,0.00025671399510418524,2.5671399510443607,0.017439042071749622,6.179429921412266e-05,0.012916291018772785,449
MEW,0.0025821000668688754,25.821000668690086,0.20842333302694946,-0.020418424048180533,1.1264593222658195,0.00025671399510418524,2.567139951044343,0.017446726504653565,6.179429921412266e-05,0.012916291018772785,449
SAND,0.0025821000668688754,25.821000668690086,0.20844341307296227,-0.020418424048180533,1.1264593222658192,0.00025671399510418524,2.567139951044343,0.017466806550666375,6.179429921412266e-05,0.012916291018772563,449
ALGO,0.0025821000668690974,25.821000668690104,0.20843719715502843,-0.020418424048180533,1.1264593222658192,0.0002567139951044073,2.5671399510443607,0.01746059063273253,6.179429921412266e-05,0.012916291018772563,449
ARB,0.0025821000668690974,25.821000668690104,0.20843998758856977,-0.020418424048180533,1.1264593222658192,0.0002567139951044073,2.5671399510443607,0.017463381066273875,6.179429921412266e-05,0.012916291018772563,449
EGLD,0.002582225420453721,25.822254204536293,0.20843876860422766,-0.02041829869459598,1.1264662379112453,0.0002568393486890308,2.5683934868905496,0.01746216208193177,6.191965279867678e-05,0.012923206664198661,449
