member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:LRC:USDT:USDT:perp,long,-50.0,3.949999999999994,1.974999999999997,-55.92499999999999,0.0,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-49.72037499999956,4.027350374999994,2.013675187499997,-55.761400562499546,0.0,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-49.441567997187505,4.004767007772186,2.002383503886093,-55.448718508845786,0.0,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-49.164324404643274,3.9823102767761034,1.9911551383880517,-55.13778981980743,0.0,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-48.88863545554402,3.9599794718990715,1.9799897359495358,-54.828604663392625,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-48.61449243222684,3.9377738870104033,1.9688869435052017,-54.521153262742445,0.0,stop_loss
okx:linear_perpetual:LRC:USDT:USDT:perp,short,-48.341886665913144,3.915692819938995,1.9578464099694974,-54.21542589582163,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:LTC:USDT:USDT:perp,short,-50.0,4.050000000000004,2.025000000000002,-56.07500000000001,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-49.99999999999971,4.04999999999999,2.024999999999995,-56.07499999999969,0.0,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-49.71962500000001,4.02728962500001,2.013644812500005,-55.76055943750003,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-49.440822202812186,4.0047065984278,2.0023532992139,-55.44788210045389,0.0,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-49.163582792309924,3.9822502061771163,1.9911251030885582,-55.1369581015756,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-48.88789800180205,3.959919738145975,1.9799598690729876,-54.82777760902101,0.0,stop_loss
okx:linear_perpetual:MAGIC:USDT:USDT:perp,short,-48.613759113756934,3.937714488214323,1.9688572441071615,-54.520330846078416,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MANA:USDT:USDT:perp,short,-49.999999999999744,4.050000000000001,2.0250000000000004,-56.07499999999975,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MANA:USDT:USDT:perp,short,-49.71962499999975,4.0272896250000025,2.0136448125000013,-55.76055943749976,0.0,stop_loss
