instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
BCH,okx:linear_perpetual:BCH:USDT:USDT:perp,9162,1,0,1,-49.999999999999694,-56.0749999999997,-0.005607499999999891,4.049999999999999,2.0249999999999995,6.075000000000003,0.0,0.0,-0.005607499999999891,NOT_AVAILABLE,15.0,1,1,8895,True,9102,0,mv2_decision_replay_series
BLUR,okx:linear_perpetual:BLUR:USDT:USDT:perp,9162,3,0,3,-149.16044720281198,-167.2834415379537,-0.016728344153795295,12.081996223427808,6.040998111713904,18.122994335141726,0.0,0.0,-0.016728344153795295,NOT_AVAILABLE,40.0,3,3,8780,True,9102,0,mv2_decision_replay_series
BNB,okx:linear_perpetual:BNB:USDT:USDT:perp,9162,3,0,3,-149.1604472028117,-167.28344153795342,-0.016728344153795295,12.0819962234278,6.0409981117139,18.122994335141726,0.0,0.0,-0.016728344153795295,NOT_AVAILABLE,126.66666666666667,3,3,7596,True,9102,0,mv2_decision_replay_series
CFX,okx:linear_perpetual:CFX:USDT:USDT:perp,9162,4,0,4,-198.32402999512163,-222.42039963952902,-0.02224203996395281,16.06424642960493,8.032123214802464,24.09636964440739,0.0,0.0,-0.02224203996395281,NOT_AVAILABLE,35.5,4,4,8777,True,9102,0,mv2_decision_replay_series
CHZ,okx:linear_perpetual:CHZ:USDT:USDT:perp,9162,7,0,7,-344.1668445702081,-385.9831161854885,-0.03859831161854872,27.87751441018692,13.93875720509346,41.81627161528036,0.0,0.0,-0.03859831161854872,NOT_AVAILABLE,153.85714285714286,7,7,7478,True,9102,0,mv2_decision_replay_series
COMP,okx:linear_perpetual:COMP:USDT:USDT:perp,9162,1,0,1,-49.99999999999965,-56.07499999999964,-0.005607499999999891,4.049999999999993,2.0249999999999964,6.074999999999989,0.0,0.0,-0.005607499999999891,NOT_AVAILABLE,5.0,1,1,8970,True,9102,0,mv2_decision_replay_series
CORE,okx:linear_perpetual:CORE:USDT:USDT:perp,9162,6,0,6,-295.8256871106815,-331.7685080946294,-0.03317685080946285,23.96188065596528,11.98094032798264,35.94282098394791,0.0,0.0,-0.03317685080946285,NOT_AVAILABLE,862.0,6,6,314,True,9102,0,mv2_decision_replay_series
CRO,okx:linear_perpetual:CRO:USDT:USDT:perp,9162,2,0,2,-99.71962499999974,-111.83555943749974,-0.01118355594375007,8.077289625,4.0386448125,12.115934437500002,0.0,0.0,-0.01118355594375007,NOT_AVAILABLE,444.5,2,2,7633,True,9102,0,mv2_decision_replay_series
DOGE,okx:linear_perpetual:DOGE:USDT:USDT:perp,9162,2,0,2,-99.71962499999934,-111.83555943749931,-0.011183555943749889,8.077289624999985,4.038644812499992,12.115934437499973,0.0,0.0,-0.011183555943749889,NOT_AVAILABLE,127.0,2,2,7529,True,9102,0,mv2_decision_replay_series
DYDX,okx:linear_perpetual:DYDX:USDT:USDT:perp,9162,4,0,4,-198.3240299951218,-222.42039963952917,-0.02224203996395281,16.064246429604914,8.032123214802457,24.09636964440736,0.0,0.0,-0.02224203996395281,NOT_AVAILABLE,23.5,4,4,8298,True,9102,0,mv2_decision_replay_series
EGLD,okx:linear_perpetual:EGLD:USDT:USDT:perp,9162,11,0,11,-534.8359018541315,-599.8184639294086,-0.05998184639294068,43.321708050184796,21.660854025092398,64.98256207527709,0.0,0.0,-0.05998184639294068,NOT_AVAILABLE,113.63636363636364,11,12,1660,True,9102,0,mv2_decision_replay_series
ENS,okx:linear_perpetual:ENS:USDT:USDT:perp,9162,2,0,2,-99.71962499999978,-111.83555943749977,-0.011183555943749889,8.077289624999995,4.038644812499998,12.115934437499988,0.0,0.0,-0.011183555943749889,NOT_AVAILABLE,362.0,2,2,7995,True,9102,0,mv2_decision_replay_series
ETC,okx:linear_perpetual:ETC:USDT:USDT:perp,9162,2,1,1,-99.72037499999976,-111.68640056249974,-0.011168640056249932,7.977350374999984,3.988675187499992,11.96602556249998,0.0,0.0,-0.011168640056249932,NOT_AVAILABLE,3.0,2,2,8835,True,9102,0,mv2_decision_replay_series
